neptune seq length/score graph by kmer
k = 10
,length,score

k = 13
,length,score

k = 16
,length,score
5.57,0.8221,113
4.821,0.8215,76
4.1393,0.8213,187
0.702,0.8208,113
5.848,0.8207,805
4.1672,0.8182,373
4.1614,0.8170,1388
4.1297,0.8135,99
5.855,0.8133,440
3.73,0.8114,486
1.717,0.8103,793
0.873,0.8095,152
3.1341,0.8084,452
0.677,0.8083,459
1.656,0.8071,92
1.74,0.8069,725
5.829,0.8059,723
0.50,0.8044,90
4.666,0.8041,381
1.512,0.8030,434
3.834,0.8029,116
3.74,0.8019,876
0.762,0.8019,649
1.929,0.8007,1145
3.768,0.8002,510
2.1347,0.7989,381
2.356,0.7983,100
0.291,0.7977,101
0.1847,0.7973,857
3.713,0.7971,622
2.953,0.7967,105
0.1635,0.7966,261
4.1671,0.7960,100
2.1737,0.7954,365
0.1027,0.7948,875
2.75,0.7938,80
0.1849,0.7935,605
3.1318,0.7924,99
1.10,0.7923,87
0.166,0.7912,81
4.875,0.7902,104
0.1096,0.7892,361
0.1402,0.7889,99
0.1634,0.7863,654
5.1340,0.7862,445
5.429,0.7858,331
3.1315,0.7856,181
0.1094,0.7849,166
0.1636,0.7845,367
5.773,0.7839,90
3.1779,0.7827,102
0.101,0.7821,270
0.1666,0.7810,79
5.1132,0.7785,145
4.1619,0.7774,308
1.1223,0.7770,245
0.1025,0.7762,162
3.1347,0.7746,402
1.1350,0.7733,234
2.1348,0.7726,361
5.852,0.7708,212
1.479,0.7706,77
5.1135,0.7705,148
3.1166,0.7705,136
5.801,0.7701,77
5.1565,0.7697,419
4.86,0.7693,263
2.1352,0.7680,115
3.1326,0.7666,174
5.1134,0.7657,106
0.1638,0.7650,188
3.1892,0.7650,195
5.1562,0.7635,288
4.664,0.7630,86
3.1856,0.7597,76
5.103,0.7573,137
0.1848,0.7558,164
0.100,0.7548,270
2.1360,0.7547,236
3.502,0.7541,81
2.957,0.7525,86
5.404,0.7476,83
0.1233,0.7445,1136
1.1211,0.7438,872
1.513,0.7425,125
5.854,0.7404,76
0.1080,0.7401,163
1.514,0.7380,158
0.1845,0.7371,174
3.88,0.7340,157
3.1165,0.7338,234
0.1095,0.7328,194
4.1442,0.7322,228
2.630,0.7295,79
0.1633,0.7289,145
4.665,0.7269,134
0.1843,0.7265,130
5.592,0.7261,258
1.712,0.7225,249
1.1222,0.7121,87
5.1697,0.7060,175
3.590,0.7035,137
3.1346,0.6928,129
3.767,0.6912,117
5.1563,0.6903,112
5.95,0.6870,410
3.1340,0.6793,98
2.1356,0.6731,91
3.764,0.6696,1332
4.836,0.6613,125
4.761,0.6599,482
1.561,0.6558,1060
2.674,0.6544,225
3.937,0.6539,1593
3.939,0.6537,783
5.1930,0.6526,855
1.560,0.6525,1003
0.1628,0.6515,780
3.940,0.6490,80
5.1929,0.6490,869
3.701,0.6483,630
4.1222,0.6474,901
1.826,0.6467,742
1.644,0.6462,1570
5.1918,0.6428,983
3.943,0.6422,604
4.1193,0.6420,211
2.1001,0.6408,120
5.1919,0.6391,282
4.832,0.6363,312
0.494,0.6356,255
5.1346,0.6337,235
0.837,0.6297,381
0.1624,0.6280,327
5.943,0.6279,188
3.1432,0.6275,1441
3.763,0.6268,348
0.832,0.6263,253
4.833,0.6261,316
0.1166,0.6261,644
0.1627,0.6255,425
5.1928,0.6240,570
4.1202,0.6225,193
4.1196,0.6176,331
3.1857,0.6132,145
3.1439,0.6106,221
5.940,0.6075,345
5.1564,0.6063,88
0.1625,0.6057,247
0.1626,0.6054,93
5.1924,0.6054,426
2.627,0.6049,309
5.949,0.6042,199
2.669,0.6038,124
0.1630,0.5996,127
4.1194,0.5946,186
2.666,0.5943,97
0.783,0.5926,119
5.1927,0.5919,356
4.1204,0.5867,145
0.496,0.5860,160
3.1437,0.5853,135
1.444,0.5816,103
3.1108,0.5804,109
5.598,0.5789,1161
2.797,0.5781,626
0.1629,0.5780,145
3.1430,0.5757,134
4.829,0.5716,142
3.431,0.5711,432
3.1155,0.5640,159
4.1198,0.5631,417
2.1491,0.5583,90
4.1200,0.5572,161
0.1632,0.5558,118
3.1433,0.5544,117
3.1440,0.5519,78
5.1384,0.5507,96
0.1182,0.5445,104
5.1328,0.5323,336
0.1631,0.5270,121
4.1415,0.5243,79
5.1300,0.5171,361
3.437,0.5143,372
2.427,0.5104,95
3.944,0.5031,96
3.593,0.5030,158
5.868,0.5019,78
2.1174,0.4973,146
2.1173,0.4930,1135
1.1152,0.4920,452
5.1338,0.4916,554
5.466,0.4907,435
2.905,0.4903,849
2.793,0.4895,157
2.1175,0.4870,926
5.388,0.4863,789
5.1652,0.4853,565
3.596,0.4845,931
0.695,0.4835,471
2.906,0.4819,507
2.931,0.4819,288
5.808,0.4817,919
3.1270,0.4811,629
0.1009,0.4810,824
5.809,0.4809,451
3.614,0.4808,174
5.1305,0.4795,308
5.1653,0.4790,675
2.1176,0.4790,429
4.1073,0.4783,1381
2.1181,0.4772,550
0.1183,0.4772,363
2.930,0.4771,525
4.1216,0.4770,554
4.559,0.4763,76
2.1171,0.4728,240
5.805,0.4717,355
1.1159,0.4715,1048
5.467,0.4715,243
0.1015,0.4698,1044
0.564,0.4692,220
2.1177,0.4690,319
5.386,0.4632,189
1.17,0.4626,257
0.1012,0.4603,429
1.800,0.4601,377
5.1304,0.4594,299
3.1825,0.4592,530
2.636,0.4573,948
5.49,0.4560,233
1.1155,0.4511,138
5.1659,0.4477,317
4.869,0.4475,93
0.150,0.4465,719
2.907,0.4450,131
1.1164,0.4449,252
1.1153,0.4432,96
3.597,0.4420,134
5.1656,0.4389,215
5.1654,0.4386,192
4.1214,0.4346,323
1.828,0.4338,115
2.434,0.4237,146
